# macOS bundled-font coverage, contiguous renderable ranges.
# format: U+XXXX U+YYYY count   (inclusive; a single scalar omits the end)
# os: Version 26.5.1 (Build 25F80)
# base font: PingFang TC   bundled fonts merged: 655

U+1F6EB U+1F6EC  2
U+1F6F0        1
U+1F6F3 U+1F6FC  10
U+1F700 U+1F773  116
U+1F7E0 U+1F7EB  12
U+1F7F0        1
U+1F90C U+1F93A  47
U+1F93C U+1F945  10
U+1F947 U+1F9FF  185
U+1FA70 U+1FA7C  13
U+1FA80 U+1FA8A  11
U+1FA8E U+1FAC6  57
U+1FAC8        1
U+1FACD U+1FADC  16
U+1FADF U+1FAEA  12
U+1FAEF U+1FAF8  10
U+2000B        1
U+20016 U+20017  2
U+20021        1
U+20027 U+20028  2
U+2002A U+2002B  2
U+20032 U+20034  3
U+2003E U+20040  3
U+20042        1
U+20044        1
U+20046        1
U+2004E        1
U+20051        1
U+20054        1
U+20059 U+2005A  2
U+2005D        1
U+2005F        1
U+20063        1
U+20068        1
U+2006A        1
U+20075        1
U+20078 U+2007B  4
U+20086 U+20087  2
U+20089 U+2008A  2
U+2008E        1
U+20094        1
U+200A2        1
U+200A4        1
U+200AA U+200AB  2
U+200B0        1
U+200C5        1
U+200CA U+200CD  4
U+200D1        1
U+200DB        1
U+200DD        1
U+200E3        1
U+200E9        1
U+200EE U+200EF  2
U+200F5        1
U+200F7 U+200F8  2
U+20100        1
U+2010C        1
U+2010E        1
U+20118        1
U+2011C        1
U+20126 U+20127  2
U+20129        1
U+2012F        1
U+20133        1
U+20136        1
U+2013A U+2013D  4
U+2014D U+2014E  2
U+20150        1
U+20152        1
U+20158        1
U+2015C        1
U+20164        1
U+20173        1
U+2017B U+2017C  2
U+2018D        1
U+201A2        1
U+201A4        1
U+201A9        1
U+201AB        1
U+201B3        1
U+201C1        1
U+201CD        1
U+201D4 U+201D6  3
U+201F2        1
U+201FC U+201FD  2
U+20204        1
U+2020B U+2020C  2
U+20213 U+20214  2
U+20239        1
U+2025B U+20260  6
U+20271        1
U+20274 U+20275  2
U+2028E        1
U+20299 U+202A1  9
U+202AB        1
U+202B7        1
U+202BF U+202C0  2
U+202E5 U+202E6  2
U+202FA        1
U+2030A        1
U+20325 U+20328  4
U+2032B        1
U+20341        1
U+20345 U+20347  3
U+20363 U+20366  4
U+2036D        1
U+20371        1
U+20374 U+20375  2
U+2037E U+20381  4
U+2038A        1
U+2039D        1
U+203A0        1
U+203A7 U+203AC  6
U+203B4 U+203B5  2
U+203B7        1
U+203C9        1
U+203CB        1
U+203DF U+203E0  2
U+203E5 U+203E6  2
U+203ED        1
U+203F2 U+203F3  2
U+203F5        1
U+203F9        1
U+203FC        1
U+20405        1
U+20413 U+20414  2
U+2041E U+2041F  2
U+2042C        1
U+20438        1
U+20448 U+2044B  4
U+20455 U+20456  2
U+20462        1
U+20465        1
U+2046C        1
U+20487        1
U+2048E        1
U+20491 U+20492  2
U+204A3        1
U+204A5 U+204A6  2
U+204AC        1
U+204AF        1
U+204B7        1
U+204C0 U+204C1  2
U+204C5        1
U+204C7        1
U+204D0 U+204D1  2
U+204D4        1
U+204D7        1
U+204E8 U+204E9  2
U+204EC        1
U+204F9 U+204FC  4
U+204FE        1
U+20509        1
U+20526        1
U+2052D U+2052E  2
U+2053F        1
U+20544        1
U+20546 U+20547  2
U+20584        1
U+20588        1
U+2058E        1
U+20598        1
U+2059D        1
U+205A4 U+205A5  2
U+205A8        1
U+205AB        1
U+205AD        1
U+205AF U+205B1  3
U+205B3        1
U+205BE U+205BF  2
U+205C3        1
U+205CA        1
U+205D0        1
U+205D5 U+205D6  2
U+205DF U+205E0  2
U+205E3 U+205E4  2
U+205EB        1
U+205F0        1
U+205F8 U+205F9  2
U+205FB        1
U+20603        1
U+20606        1
U+20611        1
U+20615        1
U+20619 U+2061A  2
U+20628        1
U+20630        1
U+20645        1
U+20656        1
U+20663        1
U+20676        1
U+20690        1
U+206A2        1
U+206AF        1
U+206CC        1
U+206E3 U+206E4  2
U+206EC        1
U+2070E U+2070F  2
U+20716        1
U+2072C U+2072F  4
U+20731        1
U+20747        1
U+2074F        1
U+20753 U+20757  5
U+2076B        1
U+2076D        1
U+20779 U+2077C  4
U+2079B        1
U+2079F U+207A2  4
U+207A9        1
U+207AD        1
U+207B8 U+207BA  3
U+207C0        1
U+207C8        1
U+207E4 U+207E5  2
U+207F2        1
U+207F8 U+207F9  2
U+20803        1
U+20807        1
U+20809 U+2080A  2
U+2080D        1
U+20811        1
U+20819 U+2081A  2
U+2081D        1
U+20829        1
U+2082B U+2082D  3
U+2083A        1
U+2084E U+2084F  2
U+2085A U+2085B  2
U+20867        1
U+20873        1
U+2087A        1
U+20891        1
U+20895        1
U+2089D U+2089F  3
U+208AC        1
U+208B9        1
U+208C2        1
